,,Total Budget,,,,,,Budget currency,,,,,,,,,,,,,,,,,USD at budget exchange rate: 17.2,,,,,,,,,,,,
,,2026 Cancun,,,,,," $ 1,503,560.78 "," $ 1,457,680.78 "," $ 1,333,110.78 "," $ 1,334,910.78 "," $ 1,278,560.78 "," $ 1,262,460.78 "," $ 1,308,180.78 "," $ 1,220,375.78 "," $ 1,203,260.78 "," $ 1,238,860.78 "," $ 1,275,260.78 "," $ 1,134,025.78 "," $ 15,550,249.36 ",,,,," $ 87,416.32 "," $ 84,748.88 "," $ 77,506.44 "," $ 77,611.09 "," $ 74,334.93 "," $ 73,398.88 "," $ 76,057.02 "," $ 70,952.08 "," $ 69,957.02 "," $ 72,026.79 "," $ 74,143.07 "," $ 65,931.73 "," $ 904,084.27 "
Budget,KEY,US Netsuite Category,Producto,Clase,Dato estadistico: Presupuesto,Description,Additional Desc. (optional),January MXN,February MXN,March MXN,April MXN,May MXN,June MXN,July MXN,August MXN,September MXN,October MXN,November MXN,December MXN,2026 Total MXN,,,,,January USD,February USD,March USD,April USD,May USD,June USD,July USD,August USD,September USD,October USD,November USD,December USD,2026 Total USD
Cancun,1001,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Comisiones Bancarias,"
Banking commissions","Comision Banorte, One card, PNC"," $ 2,000.00 "," $ 2,000.00 "," $ 2,000.00 "," $ 2,000.00 "," $ 2,000.00 "," $ 2,000.00 "," $ 2,000.00 "," $ 2,000.00 "," $ 2,000.00 "," $ 2,000.00 "," $ 2,000.00 "," $ 2,000.00 "," $ 24,000.00 ",,,,, $ 116.28 , $ 116.28 , $ 116.28 , $ 116.28 , $ 116.28 , $ 116.28 , $ 116.28 , $ 116.28 , $ 116.28 , $ 116.28 , $ 116.28 , $ 116.28 ," $ 1,395.35 "
Cancun,1002,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Papelería y Artes de Oficina,Stationery and general office supplies,Papelería y artículos de oficina / Mantenimiento y equipo de oficina," $ 4,460.00 "," $ 4,460.00 "," $ 4,460.00 "," $ 4,460.00 "," $ 4,460.00 "," $ 4,460.00 "," $ 4,460.00 ",," $ 4,460.00 "," $ 4,460.00 "," $ 4,460.00 ",," $ 44,600.00 ",,,,, $ 259.30 , $ 259.30 , $ 259.30 , $ 259.30 , $ 259.30 , $ 259.30 , $ 259.30 ,, $ 259.30 , $ 259.30 , $ 259.30 ,," $ 2,593.02 "
Cancun,1003,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Alimentos,Memberships,"Membresias Sams, Costco entre otros.",," $ 1,920.00 ",,,,," $ 1,920.00 ",,,,,," $ 3,840.00 ",,,,,, $ 111.63 ,,,,, $ 111.63 ,,,,,, $ 223.26 
Cancun,1004,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Paquetería y Envíos,Sending Files MX Central office and sites,Envío de archivos a oficina central y otros sitios,,,,,,,,,,," $ 5,000.00 ",," $ 5,000.00 ",,,,,,,,,,,,,,, $ 290.70 ,, $ 290.70 
Cancun,1005,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Telefonía y Celulares,Cell Phone/Internet Staff,Plan empresarial Telcel," $ 1,716.00 "," $ 1,716.00 "," $ 1,716.00 "," $ 1,716.00 "," $ 1,716.00 "," $ 1,716.00 "," $ 1,716.00 "," $ 1,716.00 "," $ 1,716.00 "," $ 1,716.00 "," $ 1,716.00 "," $ 1,716.00 "," $ 20,592.00 ",,,,, $ 99.77 , $ 99.77 , $ 99.77 , $ 99.77 , $ 99.77 , $ 99.77 , $ 99.77 , $ 99.77 , $ 99.77 , $ 99.77 , $ 99.77 , $ 99.77 ," $ 1,197.21 "
Cancun,1006,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Electricidad,Electricity,Servicio CFE, $ 248.00 , $ 248.00 , $ 248.00 , $ 248.00 , $ 248.00 , $ 248.00 , $ 248.00 , $ 248.00 , $ 248.00 , $ 248.00 , $ 248.00 , $ 248.00 ," $ 2,976.00 ",,,,, $ 14.42 , $ 14.42 , $ 14.42 , $ 14.42 , $ 14.42 , $ 14.42 , $ 14.42 , $ 14.42 , $ 14.42 , $ 14.42 , $ 14.42 , $ 14.42 , $ 173.02 
Cancun,1007,International Operations,OPERACIONES CUN,OPERACIONES DEL SITIO,Alimentos,Housing for staff and visitors in the team house,Alojamiento de personal y visitante en la casa de grupo," $ 1,000.00 "," $ 1,000.00 "," $ 1,000.00 "," $ 1,000.00 "," $ 1,000.00 "," $ 1,000.00 "," $ 1,000.00 "," $ 1,000.00 "," $ 1,000.00 "," $ 1,000.00 "," $ 1,000.00 "," $ 1,000.00 "," $ 12,000.00 ",,,,, $ 58.14 , $ 58.14 , $ 58.14 , $ 58.14 , $ 58.14 , $ 58.14 , $ 58.14 , $ 58.14 , $ 58.14 , $ 58.14 , $ 58.14 , $ 58.14 , $ 697.67 
